id,text,sentiment
1,"Franchement, Outstanding! Meilleur achat de l'année 🏆 5/5",positive
2,"Warning: Horrible experience, vraiment pas satisfait 😡 0/5",negative
3,Hélas... Je regrette cet achat... Totally disappointed 😔 Never again!,negative
4,Excellent rapport qualité-prix! Highly recommended 📈,positive
5,"Franchement, Super expérience, very satisfied with my order ⭐⭐⭐⭐⭐ 5/5",positive
6,Love this! Vraiment un bon achat 😍,positive
7,Je kiffe! Really impressed 🤩 Keep it up!,positive
8,Attention! Awful! N'achetez pas ce produit ⚠️ 😢😢,negative
9,"Hélas... Horrible experience, vraiment pas satisfait 😡 #disappointed",negative
10,"Sérieusement, Top quality! Je ne regrette pas du tout 👏 5/5",positive
11,Warning: Not worth it! Vraiment pas à la hauteur 📛 #disappointed,negative
12,Wow! Best experience ever! Très professionnel 🎯 Bravo!,positive
13,OMG! Incredible! Livraison rapide et produit nickel ⚡ ❤️❤️,positive
14,"Sérieusement, I love it so much! C'est génial 😄 Keep it up!",positive
15,Terrible quality! Produit défectueux 🔴 0/5,negative
16,"Well, C'est bien... Not amazing though On verra.",neutral
17,"Sérieusement, Je suis très content! Great value for money 😊 A++",positive
18,"Well, Fair product. On verra sur le long terme 🔄 On verra.",neutral
19,"Unfortunately, Not good at all! Vraiment décevant 😤 #disappointed",negative
20,"Honestly, Best experience ever! Très professionnel 🎯 ❤️❤️",positive
21,"Honestly, Top quality! Je ne regrette pas du tout 👏 Bravo!",positive
22,"Malheureusement, Awful! N'achetez pas ce produit ⚠️",negative
23,"Honestly, This is awesome! Trop bien, je recommande 🔥 ❤️❤️",positive
24,"Franchement, Wonderful! Très bonne surprise 🎁",positive
25,"Bon, C'est moyen. Could be better 🙂 We'll see.",neutral
26,"Franchement, Je suis très content! Great value for money 😊 5/5",positive
27,"C'est standard. Not bad, not great either",neutral
28,Wow! Wonderful experience! Merci beaucoup 🙏 A++,positive
29,"So, C'est moyen. Could be better 🙂 We'll see.",neutral
30,"Sérieusement, Brilliant service! Équipe au top 🌈 #happy",positive
31,Attention! Not worth it! Vraiment pas à la hauteur 📛 😢😢,negative
32,Superbe! Better than expected 💪 #happy,positive
33,"So, C'est correct. Nothing special 😐",neutral
34,"So, C'est correct. Nothing special 😐 3/5",neutral
35,"Malheureusement, Je suis vraiment pas content! Worst purchase 😾 😢😢",negative
36,"Unfortunately, Not recommended! Très mauvaise expérience 🙅",negative
37,"So, Decent but ordinary. Sans surprise 3/5",neutral
38,"Well, It's alright. Rien d'extraordinaire On verra.",neutral
39,Normal quality for the price. Rien à redire ⭐⭐⭐,neutral
40,Hélas... C'est nul! Waste of money 😠 0/5,negative
41,It's alright. Rien d'extraordinaire,neutral
42,Normal quality for the price. Rien à redire 3/5,neutral
43,Wow! Vraiment excellent service! Will definitely come back 💖 A++,positive
44,Wow! Wonderful experience! Merci beaucoup 🙏 Keep it up!,positive
45,"Honestly, Je kiffe! Really impressed 🤩 ❤️❤️",positive
46,C'est moyen. Could be better 🙂 We'll see.,neutral
47,Fair product. On verra sur le long terme 🔄 ⭐⭐⭐,neutral
48,"Bon, C'est bien... Not amazing though 3/5",neutral
49,"Malheureusement, Catastrophique! Don't buy this 🚫 0/5",negative
50,Bad experience overall! Service médiocre 😣 😢😢,negative
51,"So, It's alright. Rien d'extraordinaire 3/5",neutral
52,"C'est standard. Not bad, not great either On verra.",neutral
53,"Unfortunately, Terrible service! Je ne recommande pas 👎 😢😢",negative
54,Warning: Mauvais service client! Very unprofessional 🤬 😢😢,negative
55,Amazing! Ça vaut vraiment le coup 🌟 Keep it up!,positive
56,"Malheureusement, Poor quality! Très mauvaise qualité 💔 Never again!",negative
