review_body,stars,product_category,language
Fonctionne parfaitement très efficace exelent rapport qualité prix,5,furniture,fr
"J'ai reçu mon livre abîmé, il y a une grande coupure sur la première de couverture, dommage pour un livre ""neuf""",2,book,fr
J'utilise ces boîtes pour faire du diamond.painting et j'en suis très satisfait,4,jewelry,fr
Poster beau mes pars contre délai trop long voilà pk mes 2etoiles,2,home,fr
Very bland tasting and over-priced whole food brand.,1,grocery,en
"Pas prévenu de la livraison, heureusement le commerçant me connaissant m'a téléphoné. Le fond du cadran n'est pas bleu comme sur la photo mais bleu nuit, presque noir, ça manque de gaieté. Le bracelet métallique est livré en position la plus élargie, si vous n'êtes pas obèse et sans possession des outils adéquats, vous devez payer un pro pour vous le raccourcir: coût 10€. La phosphorescence des aiguilles est quasi nulle, impossible de voir l'heure la nuit. J'avais un meilleur souvenir de ma précédente Festina achetée il y a 10 ans.",2,watch,fr
J’ai du Fibaro partout dans la maison et rien à dire. Micromodule fiable. Je n’achète que cette marque là d’ailleurs !,5,camera,fr
Pour baigner les enfants c'est pratique. Le problème est dans la solidité des soudures. Achetée en janvier elles est déjà inutilisable. La première a tenue 2 ans. Celle ci 8 mois.,1,lawn_and_garden,fr
Ne valent pas les chiffons fournis lorsque vous achetez vos lunettes. Accrochent un peu trop le verre.,2,wireless,fr
Too small. Broke within a month.,2,home,en
le lecteur dvd BOSE ne reconnait pas le disque. Mon problème de lecture n'est probablement pas lié à l'encrassement de la tete de lecture mais à autre chose.,3,other,fr
Love the product and what it does. I gave it only 3 stars because- The bottle cap popped off during my project and I wasted half the bottle. It was a mess. Thankfully my project wasn't ruined. Disappointed how many times this happened! I was being very carefull I didn't return it due to the inconvenience and hassle returning one small item. Hopefully Ranger reads this review and others. They need to come up with another dabber that works as its supposed to. Thank you for reading-,3,home,en
"Les figurines sont très petites, attention aux photos ! La qualité n'est pas au rendez-vous. On paye la ""marque"" Astérix pas la qualité. Plastique qui ne semble pas de qualité et qui semble fragile. Donc rapport qualité prix très décevant...",2,toy,fr
"Après contact avec la société il faut attendre 20 jours pour l effet, il semblerait qu au bout de 10 jours cela commence à faire effet",4,drugstore,fr
Mise en place facile par contre a la première chute protection fissuré et décoller se retrouvant sur le sol. Demande de remboursement si possible,1,wireless,fr
Les couleurs et la forme : parfait. Mais pourquoi aussi peu de choix dans les tailles ??? S/M ou L/XL c'est trop peu.,3,apparel,fr
"I have an Aussie mix who will have stomach issues with sometimes just the slightest change of food. I've been giving him the Wag wild boar flavor for about 6 months now, and he's had very few issues since. There was the expected transition period hurdle, but that only lasted about a day or two. The only negative is he doesn't seem thrilled with the flavor - I would often have to call him over to eat, and he would sort of trudge over... eventually. However I recently discovered that he will gobble down the whole bowl if I just put a little bit of wet food (the extra-wet kind that looks like ""human"" stew) on top. So we seem to have found a winning combo there.",4,pet_products,en
"Le débit des bulles est bon, l'esthétique plait aux petits et ça a été parfait pour l'anniversaire de ma fille (4ans) ! ^^ Les enfants ont adoré courir après les bulles. Seul bémol, il faut recharger souvent en produit et le ventilo est assez bruyant, mais pour le prix on ne va pas en faire un drame =) ps : Attention, il n'y a pas de produit inclus, donc faut le prévoir en plus !",4,toy,fr
"Ma fille était là plus heureuse en voyant ces quatre puzzles, moi un peu moins car je m’attendais à recevoir un jouet en bois comme c’est indiqué dans le titre , par contre la petite boîte de rangement en fer est cool",2,toy,fr
My daughter loves these with exception that edges kind of get black from rubbing on her jeans.,4,wireless,en
"Article de très mauvaise qualité. Pas adapté à j. Enfant. Dangereux. Des l’ouverture du produit, le bois se fend en lamelles, une attache s’est décollé juste en levant la fraise de son emplacement sans même tirer dessus",1,toy,fr
This stuff is not worth the money for the amount you get its like buying a can of under seal and if the surface is not cleaned perfectly it doesn't stick and peals off.,2,home_improvement,en
Replaced a broken one...,5,other,en
Produit intéressant Mais malheureusement pas adapté pour les enfants car trop lourd. Dommage. Je regrette cet achat,3,toy,fr
